Edges,Nodes,Density,Components,Min_spl,Max_spl,Median_spl,Mean_spl,Sd_spl,Min_bc,Max_bc,Median_bc,Mean_bc,Sd_bc,Min_cc,Max_cc,Median_cc,Mean_cc,Sd_cc,Min_dc,Max_dc,Median_dc,Mean_dc,Sd_dc
8274,4391,0,994,0,63,17,18.43,8.028,0,0.207,0,0.002,0.009,0,0.117,0.044,0.041,0.018,0,0.055,0,0,0.001
12718,6150,0,483,0,253,13,24.427,39.927,0,0.482,0,0.003,0.012,0,0.146,0.075,0.069,0.03,0,0.039,0,0,0.001
6255,2516,0,136,0,41,9,9.275,3.384,0,0.469,0.001,0.003,0.012,0,0.174,0.112,0.106,0.029,0,0.058,0.001,0.001,0.002
6786,2784,0,136,0,222,9,21.357,38.401,0,0.429,0.001,0.006,0.02,0,0.168,0.105,0.095,0.04,0,0.074,0.001,0.001,0.003
8255,3881,0,234,0,239,13,29.743,46.842,0,0.352,0.001,0.006,0.021,0,0.138,0.078,0.069,0.034,0,0.056,0,0.001,0.001
5726,2264,0.001,128,0,34,9,9.127,3.23,0,0.473,0.001,0.003,0.013,0,0.176,0.112,0.106,0.029,0,0.071,0.001,0.002,0.003
6040,2391,0.001,74,0,31,9,8.975,3.08,0,0.309,0.001,0.003,0.011,0,0.187,0.114,0.112,0.029,0,0.074,0.001,0.002,0.003
7689,3626,0,220,0,50,12,13.368,5.573,0,0.367,0.001,0.003,0.009,0,0.132,0.078,0.075,0.024,0,0.042,0,0.001,0.001
10223,5058,0,378,0,241,14,27.177,42.401,0,0.438,0,0.004,0.016,0,0.156,0.071,0.064,0.028,0,0.048,0,0,0.001
5227,2177,0.001,82,0,223,10,24.495,42.3,0,0.474,0.001,0.01,0.027,0,0.192,0.103,0.093,0.043,0,0.094,0.001,0.002,0.003
7377,3416,0,203,0,47,11,12.022,4.795,0,0.369,0.001,0.002,0.009,0,0.144,0.086,0.082,0.025,0,0.042,0,0.001,0.001
7582,3608,0,277,0,229,11,20.911,34.375,0,0.458,0,0.005,0.015,0,0.163,0.084,0.078,0.033,0,0.067,0,0.001,0.002
5227,2177,0.001,82,0,223,10,24.495,42.3,0,0.474,0.001,0.01,0.027,0,0.192,0.103,0.093,0.043,0,0.094,0.001,0.002,0.003
6020,2385,0.001,84,0,33,9,8.925,3.048,0,0.318,0.001,0.003,0.011,0,0.188,0.114,0.112,0.029,0,0.07,0.001,0.002,0.003
6230,2967,0,195,0,47,13,13.433,5.599,0,0.383,0.001,0.003,0.01,0,0.131,0.078,0.074,0.025,0,0.043,0.001,0.001,0.001
74,200,0.001,200,0,5,0,0.534,0.926,0,0,0,0,0,0,0.082,0,0.001,0.006,0,0.08,0,0.003,0.007
8009,3668,0,215,0,47,11,12.008,4.886,0,0.394,0.001,0.002,0.009,0,0.141,0.086,0.083,0.025,0,0.042,0,0.001,0.001
6902,2825,0,134,0,221,9,21.118,38.11,0,0.412,0.001,0.006,0.019,0,0.173,0.108,0.096,0.04,0,0.072,0.001,0.001,0.002
8473,3875,0,237,0,48,12,12.657,5.375,0,0.37,0.001,0.002,0.008,0,0.137,0.084,0.079,0.025,0,0.038,0,0.001,0.001
5310,2220,0.001,136,0,34,9,9.306,3.517,0,0.534,0.001,0.003,0.013,0,0.183,0.113,0.105,0.03,0,0.059,0.001,0.002,0.002
6293,2527,0,136,0,33,9,9.248,3.239,0,0.474,0.001,0.003,0.012,0,0.174,0.112,0.106,0.028,0,0.057,0.001,0.001,0.002
67,50,0.027,31,0,9,2,1.923,0.813,0,0.12,0.004,0.013,0.022,0,0.225,0.06,0.072,0.062,0,0.265,0.061,0.054,0.045
8162,3524,0,203,0,46,11,12.017,5.113,0,0.461,0.001,0.002,0.01,0,0.148,0.088,0.084,0.026,0,0.045,0.001,0.001,0.001
4359,1836,0.001,142,0,26,9,9.279,3.366,0,0.553,0.001,0.004,0.015,0,0.177,0.109,0.102,0.03,0,0.063,0.002,0.002,0.003
10687,5373,0,1191,0,247,15,23.178,31.095,0,0.2,0,0.002,0.008,0,0.125,0.049,0.044,0.025,0,0.045,0,0,0.001
15017,7985,0,1933,0,271,16,26.818,37.746,0,0.171,0,0.002,0.007,0,0.122,0.046,0.04,0.023,0,0.03,0,0,0
11117,5250,0,1054,0,124,14,16.803,11.006,0,0.209,0,0.002,0.007,0,0.133,0.056,0.051,0.025,0,0.046,0,0,0.001
6534,2920,0,157,0,46,11,12.34,5.179,0,0.39,0.001,0.003,0.011,0,0.14,0.085,0.082,0.026,0,0.042,0.001,0.001,0.001
8003,3652,0,215,0,47,11,12.074,4.869,0,0.389,0.001,0.002,0.009,0,0.14,0.086,0.082,0.025,0,0.041,0,0.001,0.001
67,50,0.027,31,0,9,3,3.389,1.945,0,0.12,0.004,0.013,0.022,0,0.225,0.06,0.072,0.062,0,0.265,0.061,0.054,0.045
7245,3853,0,908,0,43,11,11.532,4.531,0,0.378,0,0.001,0.008,0,0.153,0.07,0.062,0.034,0,0.063,0,0,0.001
9545,4657,0,374,0,50,12,12.841,5.019,0,0.475,0,0.002,0.009,0,0.156,0.08,0.075,0.023,0,0.052,0,0,0.001
6918,2836,0,136,0,221,9,21.07,38.064,0,0.42,0.001,0.006,0.019,0,0.173,0.107,0.096,0.04,0,0.072,0.001,0.001,0.002
9412,4330,0,308,0,51,12,12.538,5.197,0,0.428,0,0.002,0.008,0,0.14,0.082,0.079,0.025,0,0.043,0,0.001,0.001
7859,3210,0,144,0,221,9,19.736,36.127,0,0.471,0,0.005,0.017,0,0.183,0.108,0.098,0.04,0,0.064,0.001,0.001,0.002
25,42,0.014,42,0,5,1,1.126,1.323,0,0.007,0,0,0.001,0,0.104,0,0.017,0.021,0,0.097,0.024,0.029,0.027
