Edges,Nodes,Density,Components,Min_spl,Max_spl,Median_spl,Mean_spl,Sd_spl,Min_bc,Max_bc,Median_bc,Mean_bc,Sd_bc,Min_cc,Max_cc,Median_cc,Mean_cc,Sd_cc,Min_dc,Max_dc,Median_dc,Mean_dc,Sd_dc
17526,8035,0,1527,0,662,11,12.879,18.69,0,0.213,0,0.001,0.005,0,0.132,0.071,0.061,0.03,0,0.037,0,0,0.001
4768,2567,0,668,0,39,13,13.157,4.352,0,0.208,0.001,0.003,0.011,0,0.127,0.06,0.053,0.024,0,0.04,0.001,0.001,0.001
21813,9503,0,834,0,41,11,11.082,3.507,0,0.334,0,0,0.006,0,0.161,0.088,0.084,0.025,0,0.025,0,0,0
18490,8528,0,768,0,34,10,10.152,3.051,0,0.276,0,0,0.006,0,0.179,0.095,0.09,0.029,0,0.038,0,0,0.001
952,565,0.002,288,0,28,10,10.233,4.114,0,0.131,0.001,0.005,0.01,0,0.128,0.037,0.031,0.022,0,0.03,0.005,0.005,0.003
19654,8501,0,704,0,32,10,10.322,3.055,0,0.273,0,0,0.007,0,0.177,0.093,0.09,0.028,0,0.037,0,0,0.001
3976,1875,0.001,176,0,37,8,8.425,2.944,0,0.52,0.001,0.003,0.018,0,0.227,0.11,0.105,0.035,0,0.102,0.001,0.002,0.003
2039,991,0.002,107,0,32,11,11.506,4.179,0,0.254,0.003,0.009,0.02,0,0.158,0.08,0.076,0.024,0,0.05,0.004,0.004,0.003
1407,843,0.001,267,0,33,14,13.957,5.253,0,0.218,0.003,0.009,0.018,0,0.089,0.05,0.045,0.02,0,0.019,0.003,0.003,0.002
672,382,0.004,82,0,26,10,10.079,3.9,0,0.256,0.007,0.015,0.027,0,0.148,0.073,0.067,0.031,0,0.057,0.007,0.009,0.005
2857,1481,0.001,244,0,28,11,10.746,3.435,0,0.223,0.001,0.005,0.013,0,0.139,0.081,0.076,0.028,0,0.047,0.002,0.002,0.002
